　　　　　　　　电影名称　　　　　　　　	    评分    	   评论人数   	短评　　　　　　　　
　　　　　　　　七宗罪　　　　　　　　　	   8.8    	  507074  	警察抓小偷，老鼠玩死猫。
　　　　　被嫌弃的松子的一生　　　　　　	   8.9    	  362612  	以戏谑来戏谑戏谑。　
　　　　　　　　致命魔术　　　　　　　　	   8.8    	  413516  	孪生蝙蝠侠大战克隆金刚狼。
　　　　　　　天使爱美丽　　　　　　　　	   8.7    	  564990  	法式小清新。 　　　
　　　　　　本杰明·巴顿奇事　　　　　　	   8.8    	  470272  	在时间之河里感受溺水之苦。
　　　　　　西西里的美丽传说　　　　　　	   8.8    	  435944  	美丽无罪。　　　　　
　　　　　　　　黑客帝国　　　　　　　　	   8.9    	  345400  	视觉革命。　　　　　
　　　　　　　　让子弹飞　　　　　　　　	   8.7    	  763843  	你给我翻译翻译，神马叫做TMD的惊喜。
　　　　　　　拯救大兵瑞恩　　　　　　　	   8.9    	  294776  	美利坚精神输出大片No1.
　　　　　　　　音乐之声　　　　　　　　	   8.9    	  276403  	用音乐化解仇恨，让歌声串起美好。
　　　　　　　看不见的客人　　　　　　　	   8.7    	  459406  	你以为你以为的就是你以为的。
　　　　　　　　末代皇帝　　　　　　　　	   9.0    	  231602  	“不要跟我比惨，我比你更惨”再适合这部电影不过了。
　　　　　　　　低俗小说　　　　　　　　	   8.8    	  404246  	故事的高级讲法。　　
　　　　　　　　勇敢的心　　　　　　　　	   8.8    	  339065  	史诗大片的典范。　　
　　　　　　　剪刀手爱德华　　　　　　　	   8.7    	  571490  	浪漫忧郁的成人童话。
　　　　　　　沉默的羔羊　　　　　　　　	   8.8    	  414312  	安东尼·霍普金斯的顶级表演。
　　　　　　　　大闹天宫　　　　　　　　	   9.3    	  132613  	经典之作，历久弥新。
　　　　　　　　蝴蝶效应　　　　　　　　	   8.7    	  454766  	人的命运被自己瞬间的抉择改变。
　　　　　　　　春光乍泄　　　　　　　　	   8.8    	  298010  	爱情纠缠，男女一致。
　　　　　　　　入殓师　　　　　　　　　	   8.8    	  358075  	死可能是一道门，逝去并不是终结，而是超越，走向下一程。
　　　　　　　　心灵捕手　　　　　　　　	   8.8    	  328979  	人生中应该拥有这样的一段豁然开朗。
　　　　　哈利·波特与魔法石　　　　　　	   8.8    	  335201  	童话世界的开端。　　
　　　　　　　玛丽和马克思　　　　　　　	   8.9    	  260086  	你是我最好的朋友，你是我唯一的朋友 。
　　　　　　布达佩斯大饭店　　　　　　　	   8.8    	  393866  	小清新的故事里注入了大历史的情怀。
　　　　　　阳光灿烂的日子　　　　　　　	   8.8    	  323470  	一场华丽的意淫。　　
　　　　　　　　禁闭岛　　　　　　　　　	   8.7    	  434746  	昔日翩翩少年，今日大腹便便。
　　　　　　　　猫鼠游戏　　　　　　　　	   8.8    	  294160  	骗子大师和执著警探的你追我跑故事。 
　　　　　　　　幽灵公主　　　　　　　　	   8.8    	  276495  	人与自然的战争史诗。
　　　　　　　　第六感　　　　　　　　　	   8.8    	  276836  	深入内心的恐怖，出人意料的结局。
　　　　　　　　重庆森林　　　　　　　　	   8.7    	  394021  	寂寞没有期限。　　　
　　　　　　　　　狩猎　　　　　　　　　	   9.1    	  162452  	人言可畏。　　　　　
　　　　　　　　致命ID　　　　　　　　	   8.7    	  380398  	最不可能的那个人永远是最可能的。
　　　　　　　　断背山　　　　　　　　　	   8.7    	  378257  	每个人心中都有一座断背山。
　　　　　　穿条纹睡衣的男孩　　　　　　	   8.9    	  189737  	尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
　　　　　　　　　大鱼　　　　　　　　　	   8.7    	  296305  	抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
　　　　　　　加勒比海盗　　　　　　　　	   8.6    	  416478  	约翰尼·德普的独角戏。
　　　　　　　　阿凡达　　　　　　　　　	   8.6    	  628061  	绝对意义上的美轮美奂。
　　　　　　　　　告白　　　　　　　　　	   8.7    	  400863  	没有一人完全善，也没有一人完全恶。
